"GENE_SYMBOL","logFC","adj.P.Val"
"PNMT",-1.58267047201502,7.27782760068799e-21
"SERPINF1",1.14685590730512,5.25010094317672e-28
"MATN3",-1.93760141775323,1.46801979415397e-25
"WNT10A",1.34274711609633,5.36798011854615e-26
"CTSE",1.53160433297272,1.59038422604064e-24
"RSPH1",1.11363288731994,5.62846709157315e-05
"MAFF",-1.44732829243295,9.929837537748e-25
"HMGCS2",-1.71441704150771,5.0726195496252e-13
"S100A3",-1.03167634231054,6.25895925031209e-14
"ZBTB16",-1.05312777999203,3.39959650596655e-10
"FOS",-1.86456195980185,1.81784750765824e-16
"EMP2",-1.17610785173375,2.0777388552248e-24
"CHST6",1.30280175368672,3.79243359654372e-11
"MEOX1",1.68726755110174,8.42635033851642e-18
"TMEM190",1.36464607982691,2.03773280477528e-05
"FUT1",-1.08444507202642,4.46371676236954e-24
"SULT2B1",-1.03306846780163,8.38048379619225e-23
"PPAP2C",1.08230745316859,1.71454346172936e-11
"SALL4",1.45957433240334,7.16347592400391e-30
"PCP4",1.14534036895747,1.68123371053059e-15
"CTNND2",-1.88961945567385,1.95626545508824e-34
"DUSP1",-1.73557273814268,5.7295895684472e-26
"RUNDC3B",1.37117065421624,1.86410448989243e-12
"RAMP3",-1.05943320047827,4.48306520525433e-18
"CTHRC1",1.70086321243523,7.89082200572757e-26
"COL15A1",1.46418259978363,5.15171384803523e-30
"APLN",-1.43559127711666,1.74889565666878e-11
"CD19",1.43668664806696,3.00822331543601e-12
"ZNF385D",1.37636135056653,1.3108920653842e-16
"ANGPTL7",-1.72612849740932,1.19213915575137e-20
"CRABP2",1.498115663611,1.07663151317285e-25
"FCN3",-1.74424280589876,3.6812589290205e-16
"CEP55",1.11578775835563,4.27730617823745e-22
"WT1",1.04861850481125,4.62988130521858e-06
"HABP2",1.20767616010932,3.96739620362013e-12
"KIAA0101",1.02167098445596,4.29244139791154e-24
"FOXF1",-1.01132321926778,4.23519719891831e-18
"TOP2A",1.11898245743893,1.27675208140931e-20
"KLF2",-1.14703215851506,7.93056009557674e-31
"IGLL1",1.69497651312418,4.2169805721508e-19
"CSRNP1",-2.15525352730171,5.1817112204536e-31
"GPR87",2.74213744235039,1.76336479362906e-20
"GPM6A",-1.52039449980071,1.82474056003088e-30
"CXCL13",2.57153855263906,1.20994994935726e-15
"ANXA3",-1.06952317941126,1.75185626583212e-21
"CCL19",1.1449815635142,1.48103027110107e-10
"HTR3C",-2.27099431759949,2.24494826915502e-17
"DLG2",1.05177694015828,6.77358973111859e-17
"BBOX1",1.0112097420714,2.06144566487844e-07
"BDNF",-1.53266137903547,1.79021699983181e-20
"MYZAP",-1.54155823606445,6.9691328692763e-23
"CCDC135",1.04263720321129,0.000174750999121958
"EPN3",1.21682981267437,1.04668412520004e-09
"TTR",1.88466326367932,3.3109602434638e-11
"MMP10",2.11976968627227,2.91190594825577e-11
"KIAA1683",-1.00801601662586,3.55333274923307e-23
"CASP12",-1.19099439731253,7.38866955507839e-21
"NR4A2",-1.72197801628423,1.63621676573586e-18
"SPAG4",1.22992999487559,4.76046780130161e-17
"SIK1",-1.38805397711097,1.33476524435275e-20
"SERPINI2",1.14305142060012,4.95696888770353e-12
"MND1",1.16483875192165,2.0777388552248e-24
"FAM105A",-1.32824823777259,8.35031219053819e-26
"GPX3",-1.06653769287707,5.37772697022032e-29
"CAPSL",1.17773849570119,0.000142102893054478
"HUS1B",-1.22355764960428,3.30288915510856e-19
"BAALC",-1.17054728121619,5.52793977474433e-27
"CHRDL2",2.39740933211865,1.78642511200088e-23
"PTPRT",1.18132465979616,1.2281488192106e-06
"TMSB15A",-1.49002139725559,1.2910173530185e-20
"LEFTY2",-1.34010370096224,7.95467607195832e-21
"IGF1",1.54686984569834,1.22450589793007e-21
"MS4A8B",1.20308531572055,0.000175989762290715
"DAO",-1.79400440129818,1.8295371028083e-25
"SLC2A3",-1.10513178272504,6.52915935475455e-18
"CTSG",1.09950194158173,2.2112803833922e-08
"SLC27A2",1.0889322837784,2.84759683827272e-09
"NDRG4",-1.53257211751978,2.5525364110242e-27
"HIF3A",-1.49926293343961,1.19187030827797e-25
"C3orf32",1.0108288447304,7.28551014467772e-12
"COL7A1",1.29750909297956,2.65619660746197e-23
"ASB5",1.23785548596481,1.50268299933251e-10
"ESM1",-1.63327062005352,2.61887470588719e-13
"ADRB2",-1.06098938677902,7.41531398771938e-40
"MLIP",1.41112541137619,1.50299707315928e-18
"CHRM2",-1.12051803222684,1.0060519934712e-18
"PPP1R17",-1.16003747081933,1.42495487268948e-11
"SOSTDC1",-1.60246856459602,5.34779874078521e-13
"EFCAB1",1.12339951602801,3.5772243423387e-05
"IGDCC4",1.49243972555941,2.49672062643454e-27
"PCBP3",1.09011543016569,6.07977497271292e-21
"PRF1",-1.03916689062233,2.22921901652073e-14
"RIMS2",1.28895610089392,5.94838624080351e-12
"FMO1",1.18591597676934,1.73114679846041e-24
"MMP12",1.11308124466207,5.71961919905548e-05
"SLN",2.19422844047144,9.42019878921819e-16
"MUCL1",1.02852031543586,8.26144795797609e-07
"CILP",1.7252937880772,9.21980209689876e-21
"CMTM2",-1.0792349086147,3.28583729075343e-14
"DPEP1",1.14887735011102,4.31049355244749e-10
"SLC6A4",-3.35336150999258,4.80747002295563e-22
"CLEC4G",1.06602316232989,1.24467701768531e-10
"IGFL2",3.4368601662586,3.42872960848782e-32
"PROM2",1.33175383476627,5.242873234252e-22
"TMEM100",-1.72072633946364,2.26308842322528e-19
"SLC4A11",1.14704100666173,5.87330045023976e-14
"BPIFB1",2.73184743494846,4.97669309064896e-09
"CXCL6",1.49716008085179,2.24991972005069e-07
"CFB",1.05553474349484,1.36249754347761e-21
"TNC",1.10948477481068,5.64005512314925e-24
"BTNL3",-2.07574228207025,2.2611963839265e-07
"BFSP2",1.48127898992199,2.02379300603335e-17
"SPRR1B",1.23584491260035,1.07531300280588e-10
"BEX1",-1.29084632465979,5.39117553350315e-23
"SLC2A5",1.11197717360359,6.21728819511522e-12
"TSPAN1",1.16149573535273,3.84329160591422e-08
"FCRL2",1.09259381654614,8.00609078493537e-12
"ANKRD1",-2.17278505950008,3.18082952284275e-20
"OGDHL",1.57019628195638,3.5789333163296e-13
"MMP3",1.48619419802994,5.57375325420517e-14
"NLRP7",1.0657780789159,2.62705755038688e-10
"CCDC48",-1.13335127825542,2.4295525207747e-23
"LINC00312",-1.1986289870751,1.46801979415397e-25
"TNNC1",-1.20820581335762,3.14487773818215e-22
"HHIP",-1.22349556453909,5.69328598271239e-15
"SCRG1",1.87197861982576,4.50946082776723e-17
"IGJ",1.42623420258498,4.25197747748404e-17
"CD38",1.37162908956328,2.4295525207747e-23
"MMP1",3.84379597449182,1.56338392804639e-23
"SH3GL2",-1.22476583727153,9.84280055405308e-15
"LCN2",1.58202978420542,4.00636898508707e-12
"ADCY8",-1.08498710357,1.56301434233349e-17
"KCNH8",1.43668503672493,5.38853096877414e-21
"DPP6",-1.85605906735751,2.01652156493671e-24
"TSGA10",1.0333879177817,2.01945131851053e-08
"NXF3",-1.4236327563628,1.27189957490267e-20
"GBA3",-1.68216820019358,9.05530085835572e-26
"REEP2",1.08797310823891,1.89070193112619e-22
"CTGF",-1.02877910949154,8.25215081372665e-19
"FCRL5",2.04333686727779,2.0096224937171e-19
"RET",1.0138746854182,7.36285867834135e-21
"MMP19",-1.28259771109719,1.4508136195231e-14
"ACCN2",1.00047372886181,3.31744560682146e-22
"GJB2",1.99690779479587,7.152631522768e-23
"STXBP6",-1.60941271992256,7.45389590015359e-26
"SOCS3",-1.50960062062289,1.15414188492698e-14
"ALDH3A1",1.1480223025679,6.2028734218813e-07
"TNS4",1.56517265273586,4.88377861909907e-11
"FCAR",-1.06540246541023,4.39646236480793e-10
"UHRF1",1.01515321983715,7.65373639315119e-27
"NMUR1",-1.17869387348403,1.30999316381787e-21
"GNLY",-1.08401017479929,2.51991408761984e-11
"FBN2",1.16749404999146,2.98057065216296e-15
"SPINK1",1.65948953481751,1.3336221708819e-11
"EGR1",-1.17571930763537,1.36446298974737e-15
"COL10A1",1.40137725901041,1.3984319689293e-18
"IRF4",1.09564525422763,3.45983183091343e-12
"EDN1",-1.255725496783,2.3585237549882e-24
"KIAA0408",-1.07899873597904,2.23183125755417e-24
"RAPGEF5",-1.14367912087912,2.9361681753826e-26
"COL14A1",1.40157603484598,9.59399272702086e-22
"ASPN",1.1082272675511,7.75171584905952e-19
"SLC1A1",-1.12223418550361,2.75163156802026e-22
"C9orf24",1.01439972100438,0.000454179964754113
"SLITRK2",-1.01199012697147,1.7184211170454e-09
"AFF2",-1.05016024027785,5.44865585186537e-13
"RGS16",-1.26443273928144,8.35031219053819e-26
"KRT5",2.91236362808175,7.23649817955933e-14
"EMR3",-1.17239151056197,2.29367115808649e-14
"WFDC2",1.12605370950293,1.98180120782842e-15
"BNC1",1.3377829983488,3.12610668470314e-09
"TSPAN19",1.53463029664636,9.85059996869265e-06
"HSD17B6",-1.08852005921539,6.10305979789537e-16
"IL13",-1.23846104310197,1.67171245630297e-08
"NELL1",1.88916545009394,6.6101916473844e-16
"FKBP11",1.06841792973865,1.15445486204596e-21
"CDCA7",1.10752828673916,3.226961862135e-17
"PNOC",1.710061122815,5.17355877133469e-20
"GAP43",1.00522477367192,1.0257460731169e-11
"NPR3",-1.04025891931902,1.18559071666841e-17
"SMPX",1.28440250526675,8.3477931657017e-13
"CAMP",-1.22555274155896,4.13263983671289e-11
"LRRC17",1.10695953994192,9.50119493275085e-22
"NIM1",-1.18350717417297,2.23400770953844e-21
"KIF20A",1.19148472926037,2.97281563202707e-22
"CD180",1.02370618345385,1.50524333696456e-12
"WNT7A",-1.33588275351591,2.18533084322261e-29
"RPS4Y1",1.81657083072368,0.00949239035604978
"TTK",1.20708326595684,5.49789599500409e-21
"PSAT1",1.53003592210898,1.28543741940307e-26
"CD177",1.19435504754313,1.51899674988909e-12
"FRMD5",1.8817567784547,4.84941334895116e-25
"KRT15",1.91433343392359,6.19726608970814e-13
"SRD5A2",1.47353468086318,4.24330893568583e-07
"CYP24A1",1.77248427375732,1.38791525313242e-11
"ADH4",1.04372083926436,1.26112354154161e-11
"ASTN1",1.16149933952058,5.46265127097197e-10
"LOC375295",1.08192251893184,2.34059055603454e-12
"GRIA1",-1.68673651995672,1.46801979415397e-25
"DST",1.13270536354837,5.59597401981915e-11
"ANKRD43",1.14553013722029,1.38494529434325e-07
"NR4A3",-1.7782983260263,3.94136964813576e-14
"SOX7",-1.1613065877128,2.3245162248295e-22
"ACAN",1.09473967431532,3.09477395948041e-10
"ABCC13",-1.01728451859021,4.17896357918557e-12
"MAP3K15",-1.51989586630985,9.46375739076436e-29
"CCDC164",1.14801117121221,0.000159390012883493
"PRSS2",1.3323882992655,1.30510551631149e-11
"POU2AF1",1.89683986790411,1.27961896148612e-19
"C4orf22",1.14921832261003,2.81987128383554e-05
"AKAP14",1.16972112395376,0.000171333035921959
"LRRN3",-1.06143288162614,3.88030710253656e-17
"STEAP1",1.60988416557535,6.84162188663561e-31
"STC1",-1.21842576439104,2.14568103029373e-21
"SLC10A4",-1.18782651027728,4.6846217632225e-13
"C20orf85",1.27691524796447,6.07682495701772e-05
"CXCL2",-1.91890922963047,3.81982734840919e-22
